time,lat,lon
1711978742,-19.771143749122,-76.340185174458
1711978751,-19.331293993848,-75.972303441273
1711978760,-18.890510554374,-75.606568771903
1711978769,-18.448824207929,-75.24292469222
1711978778,-18.006259420015,-74.881310466779
1711978787,-17.562842235261,-74.521667634336
1711978796,-17.118598321887,-74.163938354198
1711978805,-16.673550993053,-73.808063805191
1711978814,-16.227729180881,-73.453990526329
1711978823,-15.781155511394,-73.101660857208
1711978832,-15.333854271046,-72.751019294584
1711978841,-14.88584943071,-72.402010882269
1711978850,-14.43716264994,-72.054579646155
1711978859,-13.987821314459,-71.708674784225
1711978868,-13.537846512447,-71.364241332571
1711978877,-13.087261065672,-71.021226369042
1711978886,-12.636087535955,-70.679577440868
1711978895,-12.184346215067,-70.33924103028
1711978904,-11.7320632154,-70.000168618369
1711978913,-11.27925836344,-69.662307540998
1711978922,-10.82595328514,-69.325607064066
1711978931,-10.372167368036,-68.990015345389
1711978940,-9.9179258874437,-68.655485414466
1711978949,-9.4632478444877,-68.321966155515
1711978958,-9.0081540878414,-67.989408296918
1711978967,-8.5526652955475,-67.65776289249
1711978976,-8.0967999455606,-67.326979828533
1711978985,-7.64058247801,-66.997013718705
1711978994,-7.1840310768364,-66.667815015993
1711979003,-6.7271658285767,-66.339335915098
1711979012,-6.2700066940988,-66.011528855765
1711979021,-5.8125714718158,-65.684345045442
